0111,2024-05-09 13:03:37,41114449
0101,2024-05-09 13:03:41,410100000000F5
0103,2024-05-09 13:03:44,NO DATA
0104,2024-05-09 13:03:48,410402FA
0105,2024-05-09 13:03:51,4105716A
010B,2024-05-09 13:03:55,410B6B6A
010C,2024-05-09 13:03:58,410C19F009
010D,2024-05-09 13:04:02,410D3839
010E,2024-05-09 13:04:05,410EFF01
010F,2024-05-09 13:04:09,410F4649
0110,2024-05-09 13:04:12,4110051821
0111,2024-05-09 13:04:16,41114247
0101,2024-05-09 13:04:19,410100000000F5
0103,2024-05-09 13:04:23,NO DATA
0104,2024-05-09 13:04:26,4104372F
0105,2024-05-09 13:04:30,41056F68
010B,2024-05-09 13:04:33,410B7170
010C,2024-05-09 13:04:37,410C1D6885
010D,2024-05-09 13:04:40,410D3334
010E,2024-05-09 13:04:44,410EFF01
010F,2024-05-09 13:04:47,410F474A
0110,2024-05-09 13:04:51,41100D3041
0111,2024-05-09 13:04:54,4111B8BD
0101,2024-05-09 13:04:58,410100000000F5
0103,2024-05-09 13:05:01,NO DATA
0104,2024-05-09 13:05:05,41047B73
0105,2024-05-09 13:05:08,41056F68
010B,2024-05-09 13:05:12,410B7271
010C,2024-05-09 13:05:15,410C201838
010D,2024-05-09 13:05:19,410D4A4B
010E,2024-05-09 13:05:22,410EFF01
010F,2024-05-09 13:05:26,410F474A
0110,2024-05-09 13:05:29,41100FC8DB
0111,2024-05-09 13:05:33,41110005
0101,2024-05-09 13:05:36,410100000000F5
0103,2024-05-09 13:05:40,NO DATA
0104,2024-05-09 13:05:43,41045F57
0105,2024-05-09 13:05:47,41056E67
010B,2024-05-09 13:05:50,410B7E7D
010C,2024-05-09 13:05:54,410C0D3441
010D,2024-05-09 13:05:57,410D3435
010E,2024-05-09 13:06:01,410EFF01
010F,2024-05-09 13:06:04,410F4548
0110,2024-05-09 13:06:08,411005020B
0111,2024-05-09 13:06:11,4111474C
0101,2024-05-09 13:06:15,410100000000F5
0103,2024-05-09 13:06:18,NO DATA
0104,2024-05-09 13:06:22,41043028
0105,2024-05-09 13:06:25,41056D66
010B,2024-05-09 13:06:29,410B7473
010C,2024-05-09 13:06:32,410C176077
010D,2024-05-09 13:06:36,410D1819
010E,2024-05-09 13:06:39,410EFF01
010F,2024-05-09 13:06:43,410F4548
0110,2024-05-09 13:06:46,411015E2FB
0111,2024-05-09 13:06:50,41110005
0101,2024-05-09 13:06:53,410100000000F5
0103,2024-05-09 13:06:57,NO DATA
0104,2024-05-09 13:07:00,4104B9B1
0105,2024-05-09 13:07:04,41056D66
010B,2024-05-09 13:07:08,410B6A69
010C,2024-05-09 13:07:11,410C17344B
010D,2024-05-09 13:07:15,410D2324
010E,2024-05-09 13:07:18,410EFF01
010F,2024-05-09 13:07:22,410F4649
0110,2024-05-09 13:07:25,4110162C46
0111,2024-05-09 13:07:29,41119095
0101,2024-05-09 13:07:32,410100000000F5
0103,2024-05-09 13:07:36,NO DATA
0104,2024-05-09 13:07:39,4104E9E1
0105,2024-05-09 13:07:43,41056D66
010B,2024-05-09 13:07:46,410BB7B6
010C,2024-05-09 13:07:50,410C24CCF0
010D,2024-05-09 13:07:53,410D5253
010E,2024-05-09 13:07:57,410EFF01
010F,2024-05-09 13:08:00,410F4A4D
0110,2024-05-09 13:08:04,41100F9AAD
0111,2024-05-09 13:08:07,4111474C
0101,2024-05-09 13:08:11,410100000000F5
0103,2024-05-09 13:08:14,NO DATA
0104,2024-05-09 13:08:18,4104554D
0105,2024-05-09 13:08:21,41056F68
010B,2024-05-09 13:08:25,410B7978
010C,2024-05-09 13:08:28,410C1FF413
010D,2024-05-09 13:08:32,410D4849
010E,2024-05-09 13:08:35,410EFF01
010F,2024-05-09 13:08:39,410F474A
0110,2024-05-09 13:08:42,41100F4457
0111,2024-05-09 13:08:46,4111484D
0101,2024-05-09 13:08:49,410100000000F5
0103,2024-05-09 13:08:53,NO DATA
0104,2024-05-09 13:08:56,4104423A
0105,2024-05-09 13:09:00,41056E67
010B,2024-05-09 13:09:03,410B7675
010C,2024-05-09 13:09:07,410C1F90AF
010D,2024-05-09 13:09:10,410D4F50
010E,2024-05-09 13:09:14,410EFF01
010F,2024-05-09 13:09:17,410F4649
0110,2024-05-09 13:09:21,41100F7E91
0111,2024-05-09 13:09:24,41114A4F
0101,2024-05-09 13:09:28,410100000000F5
0103,2024-05-09 13:09:31,NO DATA
0104,2024-05-09 13:09:35,4104534B
0105,2024-05-09 13:09:38,41056D66
010B,2024-05-09 13:09:42,410B6C6B
010C,2024-05-09 13:09:45,410C1EA0BE
010D,2024-05-09 13:09:49,410D4748
010E,2024-05-09 13:09:52,410EFF01
010F,2024-05-09 13:09:56,410F4548
0110,2024-05-09 13:09:59,4110102034
0111,2024-05-09 13:10:03,41114146
0101,2024-05-09 13:10:06,410100000000F5
0103,2024-05-09 13:10:10,NO DATA
0104,2024-05-09 13:10:13,41046B63
0105,2024-05-09 13:10:17,41056C65
010B,2024-05-09 13:10:20,410B7A79
010C,2024-05-09 13:10:24,410C22F416
010D,2024-05-09 13:10:27,410D4B4C
010E,2024-05-09 13:10:31,410EFF01
010F,2024-05-09 13:10:34,410F4649
0110,2024-05-09 13:10:38,41101CA2C2
0111,2024-05-09 13:10:41,41115E63
0101,2024-05-09 13:10:45,410100000000F5
0103,2024-05-09 13:10:48,NO DATA
0104,2024-05-09 13:10:52,41047F77
0105,2024-05-09 13:10:55,41056D66
010B,2024-05-09 13:10:59,410B7675
010C,2024-05-09 13:11:02,410C215071
010D,2024-05-09 13:11:06,410D5D5E
010E,2024-05-09 13:11:09,410EFF01
010F,2024-05-09 13:11:13,410F4649
0110,2024-05-09 13:11:16,41100D5263
0111,2024-05-09 13:11:20,41112227
0101,2024-05-09 13:11:23,410100000000F5
0103,2024-05-09 13:11:27,NO DATA
0104,2024-05-09 13:11:30,4104E9E1
0105,2024-05-09 13:11:34,41056D66
010B,2024-05-09 13:11:37,410BCAC9
010C,2024-05-09 13:11:41,410C1F2C4B
010D,2024-05-09 13:11:44,410D5A5B
010E,2024-05-09 13:11:48,410EFF01
010F,2024-05-09 13:11:51,410F4649
0110,2024-05-09 13:11:55,41100FA6B9
0111,2024-05-09 13:11:58,4111676C
0101,2024-05-09 13:12:02,410100000000F5
0103,2024-05-09 13:12:05,NO DATA
0104,2024-05-09 13:12:09,41046E66
0105,2024-05-09 13:12:12,41056E67
010B,2024-05-09 13:12:16,410B6F6E
010C,2024-05-09 13:12:19,410C1C506C
010D,2024-05-09 13:12:23,410D5051
010E,2024-05-09 13:12:26,410EFF01
010F,2024-05-09 13:12:30,410F4548
0110,2024-05-09 13:12:33,4110141A32
0111,2024-05-09 13:12:37,4111383D
0101,2024-05-09 13:12:40,410100000000F5
0103,2024-05-09 13:12:44,NO DATA
0104,2024-05-09 13:12:47,4104968E
0105,2024-05-09 13:12:51,41056D66
010B,2024-05-09 13:12:55,410BCCCB
010C,2024-05-09 13:12:58,410C20B8D8
010D,2024-05-09 13:13:02,410D5B5C
010E,2024-05-09 13:13:05,410EFF01
010F,2024-05-09 13:13:09,410F4649
0110,2024-05-09 13:13:12,411010485C
0111,2024-05-09 13:13:16,41113C41
0101,2024-05-09 13:13:19,410100000000F5
0103,2024-05-09 13:13:23,NO DATA
0104,2024-05-09 13:13:26,410402FA
0105,2024-05-09 13:13:30,41056D66
010B,2024-05-09 13:13:33,410B6D6C
010C,2024-05-09 13:13:37,410C19B0C9
010D,2024-05-09 13:13:40,410D494A
010E,2024-05-09 13:13:44,410EFF01
010F,2024-05-09 13:13:47,410F4447
0110,2024-05-09 13:13:51,4110085A66
0111,2024-05-09 13:13:54,41116469
0101,2024-05-09 13:13:58,410100000000F5
0103,2024-05-09 13:14:01,NO DATA
0104,2024-05-09 13:14:05,41047068
0105,2024-05-09 13:14:08,41056C65
010B,2024-05-09 13:14:12,410BB4B3
010C,2024-05-09 13:14:15,410C221436
010D,2024-05-09 13:14:19,410D4F50
010E,2024-05-09 13:14:22,410EFF01
010F,2024-05-09 13:14:26,410F474A
0110,2024-05-09 13:14:29,41100FFA0D
0111,2024-05-09 13:14:33,41117176
0101,2024-05-09 13:14:36,410100000000F5
0103,2024-05-09 13:14:40,NO DATA
0104,2024-05-09 13:14:43,4104322A
0105,2024-05-09 13:14:47,41056D66
010B,2024-05-09 13:14:50,410B7A79
010C,2024-05-09 13:14:54,410C226C8E
010D,2024-05-09 13:14:57,410D5051
010E,2024-05-09 13:15:01,410EFF01
010F,2024-05-09 13:15:04,410F4548
0110,2024-05-09 13:15:08,4110102236
0111,2024-05-09 13:15:11,41115459
0101,2024-05-09 13:15:15,410100000000F5
0103,2024-05-09 13:15:18,NO DATA
0104,2024-05-09 13:15:22,41045C54
0105,2024-05-09 13:15:25,41056C65
010B,2024-05-09 13:15:29,410B7776
010C,2024-05-09 13:15:32,410C24A8CC
010D,2024-05-09 13:15:36,410D5354
010E,2024-05-09 13:15:39,410EFF01
010F,2024-05-09 13:15:43,410F4548
0110,2024-05-09 13:15:46,41100F4659
0111,2024-05-09 13:15:50,41114146
0101,2024-05-09 13:15:53,410100000000F5
0103,2024-05-09 13:15:57,NO DATA
0104,2024-05-09 13:16:00,4104433B
0105,2024-05-09 13:16:04,41056C65
010B,2024-05-09 13:16:07,410B7675
010C,2024-05-09 13:16:11,410C2398BB
010D,2024-05-09 13:16:14,410D4D4E
010E,2024-05-09 13:16:18,410EFF01
010F,2024-05-09 13:16:21,410F4447
0110,2024-05-09 13:16:25,41100D0213
0111,2024-05-09 13:16:28,41112D32
0101,2024-05-09 13:16:32,410100000000F5
